,nome_fantasia,cnpj_basico,cnpj_ordem,cnpj_dv,cnae_princ,cnaes_sec,uf,municipio,porte,4661300,4683400,4530704,3314711,3314712,4619200
96383,,10126,7,32,4661300,"4520005,4614100,6810202,4520002",SP,6929,Parceiros,1,0,0,0,0,0
96532,COOPERCITRUS,45236791,83,38,4661300,"0161003,0161099,3314711,3321000,4520001,4530703,4530705,4614100,4744001,4753900,4755503,4759899,4763602,4763604,4781400,4782201,4789004,4789005,4789099,5211799,7112000,7490103,7731400,8230001,8599604",MG,4541,Parceiros,1,0,0,1,0,0
97372,JUSTI,4800201,3,96,4661300,"4732600,4530705,4744001,4530703,3314711,4669999,4614100,4930202",BA,3485,Parceiros,1,0,0,1,0,0
97443,AGROPECAS,11689493,1,35,4661300,"4530703,3314712,3314711,4520001,4520007,4614100,4530706",MT,97,Parceiros,1,0,0,1,1,0
97790,SOMASSEY,52500287,8,99,4661300,"4512901,4520001,4530703",MG,4031,Parceiros,1,0,0,0,0,0
97956,,13049171,1,57,4661300,"0161001,0161002,0161003,0230600,0133404,0131800,4683400,7490103,0139399",RS,8845,Parceiros,1,1,0,0,0,0
98021,,1382427,2,45,4661300,3314712,SP,6875,Parceiros,1,0,0,0,1,0
98211,CPA MAQUINAS,89286116,33,20,4661300,"4683400,3314711",RS,8701,Parceiros,1,1,0,1,0,0
98218,AGROFEL,89286116,40,59,4661300,"4683400,3314711",RS,8947,Parceiros,1,1,0,1,0,0
98345,AGRICASE EQUIPAMENTOS AGRICOLAS LTDA,5444853,9,93,4661300,"4520001,4530703,4619200,4662100,4732600,7490104,7731400,7732201",PR,7525,Parceiros,1,0,0,0,0,1
98625,TRATORMAX MAQUINAS AGRICOLAS,15007583,1,50,4661300,"4614100,4520001",MT,8985,Parceiros,1,0,0,0,0,0
